
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Sun Aug 12 11:47:01 2018
     Path: "C:\su\temp\DirectoryNavigator"
     Args: *.h, *.cpp, *.cs, /v, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     310

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             Application.h       class                        Application      12      44      10
             Application.h    function                        Application      15       3       1
             Application.h    function                             doFile      19      15       4
             Application.h    function                              doDir      35       3       1
             Application.h    function                              count      39       3       1
             Application.h    function                              count      43       3       1
             Application.h    function                   showAllInCurrDir      47       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           Application.cpp    function                               main      12       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           CodeUtilities.h   namespace                          Utilities      52     305      47
           CodeUtilities.h    function                            preface      58       3       1
           CodeUtilities.h       class                     ProcessCmdLine      67      35      32
           CodeUtilities.h    function                               path     105       4       1
           CodeUtilities.h    function                               path     111       3       1
           CodeUtilities.h    function                           showPath     116       3       1
           CodeUtilities.h    function                             option     123       3       1
           CodeUtilities.h    function                            options     127       4       1
           CodeUtilities.h    function                          hasOption     133      10       3
           CodeUtilities.h    function                        showOptions     145       6       2
           CodeUtilities.h    function                            pattern     155       3       1
           CodeUtilities.h    function                           patterns     160       3       1
           CodeUtilities.h    function                       showPatterns     165       6       2
           CodeUtilities.h    function                           maxItems     175       3       1
           CodeUtilities.h    function                           maxItems     180       3       1
           CodeUtilities.h    function                       showMaxItems     185       4       1
           CodeUtilities.h    function                         parseError     193       3       1
           CodeUtilities.h    function                     ProcessCmdLine     200      33       7
           CodeUtilities.h    function                        showCmdLine     235      15       4
           CodeUtilities.h    function                        showCmdLine     252       9       1
           CodeUtilities.h    function                              usage     263       8       1
           CodeUtilities.h       class                          Converter     280       5       3
           CodeUtilities.h    function                           toString     289       5       1
           CodeUtilities.h    function                            toValue     301       6       1
           CodeUtilities.h       class                                Box     315       9       5
           CodeUtilities.h    function                                Box     316       2       1
           CodeUtilities.h    function                                Box     317       2       1
           CodeUtilities.h    function                         operatorT&     318       2       1
           CodeUtilities.h    function                          operator=     319       2       1
           CodeUtilities.h      struct                              ToXml     330       4       2
           CodeUtilities.h    function                             ~ToXml     331       1       1
           CodeUtilities.h       class                     PersistFactory     343      14       3
           CodeUtilities.h    function                     PersistFactory     347       3       1
           CodeUtilities.h    function                              toXml     351       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         CodeUtilities.cpp    function                               main      21      71       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            DirExplorerE.h       class                       DirExplorerE       3       5       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          DirExplorerE.cpp    function                       DirExplorerE       6       2       1
          DirExplorerE.cpp    function                      ~DirExplorerE      11       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            DirExplorerI.h       class                       DirExplorerI      45     159      23
            DirExplorerI.h    function                       DirExplorerI      52       4       1
            DirExplorerI.h    function                      ~DirExplorerI      57       2       1
            DirExplorerI.h    function                         addPattern      63       5       1
            DirExplorerI.h    function               hideEmptyDirectories      71       3       1
            DirExplorerI.h    function                   showAllInCurrDir      77       3       1
            DirExplorerI.h    function                   showAllInCurrDir      83       3       1
            DirExplorerI.h    function                             search      89       3       1
            DirExplorerI.h    function                               find      98      41       6
            DirExplorerI.h    function                             doFile     142       4       1
            DirExplorerI.h    function                              doDir     149       3       1
            DirExplorerI.h    function                           maxItems     156       4       1
            DirExplorerI.h    function                              count     162       4       1
            DirExplorerI.h    function                              count     168       4       1
            DirExplorerI.h    function                          showStats     175       7       2
            DirExplorerI.h    function                               done     187       8       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          DirExplorerI.cpp       class                DerivedDirExplorerI      17      20       4
          DirExplorerI.cpp    function                DerivedDirExplorerI      20       3       1
          DirExplorerI.cpp    function                             doFile      26       4       1
          DirExplorerI.cpp    function                              doDir      33       3       1
          DirExplorerI.cpp    function                               main      39      44       6

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            DirExplorerN.h       class                       DirExplorerN      44      85      13
            DirExplorerN.h    function                       DirExplorerN      51       3       1
            DirExplorerN.h    function                         addPattern      57       5       1
            DirExplorerN.h    function               hideEmptyDirectories      65       3       1
            DirExplorerN.h    function                             search      71       3       1
            DirExplorerN.h    function                               find      80      31       6
            DirExplorerN.h    function                             doFile     114       3       1
